Income,ASA-Current,ASA-Proposed,AEA-2012,APSA,AAA,AHA
1,70,80,20,93,135,46
2,70,80,20,93,135,46
3,70,80,20,93,135,46
4,70,80,20,93,135,46
5,70,80,20,93,135,46
6,70,80,20,93,135,46
7,70,80,20,93,135,46
8,70,80,20,93,135,46
9,70,80,20,93,135,46
10,70,80,20,93,135,46
11,70,80,20,93,135,46
12,70,80,20,93,135,46
13,70,80,20,93,135,46
14,70,80,20,93,135,46
15,70,80,20,93,135,46
16,70,80,20,93,135,46
17,70,80,20,93,135,46
18,70,80,20,93,135,46
19,70,80,20,93,135,46
20,71,80,20,93,135,46
21,71,80,20,93,135,46
22,71,80,20,93,135,46
23,71,80,20,93,135,46
24,71,80,20,93,135,46
25,71,80,20,93,161,84
26,71,80,20,93,161,84
27,71,80,20,93,161,84
28,71,80,20,93,161,84
29,71,80,20,93,161,84
30,115,125,20,93,161,84
31,115,125,20,93,161,84
32,115,125,20,93,161,84
33,115,125,20,93,161,84
34,115,125,20,93,161,84
35,115,125,20,93,161,84
36,115,125,20,93,161,84
37,115,125,20,93,161,84
38,115,125,20,93,161,84
39,115,125,20,93,161,84
40,167,180,20,138,161,96
41,167,180,20,138,161,96
42,167,180,20,138,161,96
43,167,180,20,138,161,96
44,167,180,20,138,161,96
45,167,180,20,138,161,114
46,167,180,20,138,161,114
47,167,180,20,138,161,114
48,167,180,20,138,161,114
49,167,180,20,138,161,114
50,167,180,20,162,189,114
51,167,180,20,162,189,114
52,167,180,20,162,189,114
53,167,180,20,162,189,114
54,167,180,20,162,189,114
55,214,230,20,162,189,127
56,214,230,20,162,189,127
57,214,230,20,162,189,127
58,214,230,20,162,189,127
59,214,230,20,162,189,127
60,214,230,20,175,189,127
61,214,230,20,175,189,127
62,214,230,20,175,189,127
63,214,230,20,175,189,127
64,214,230,20,175,189,127
65,214,230,20,175,189,127
66,214,230,20,175,189,127
67,214,230,20,175,189,127
68,214,230,20,175,189,127
69,214,230,20,175,189,127
70,234,260,30,175,189,154
71,234,260,30,175,189,154
72,234,260,30,175,189,154
73,234,260,30,175,189,154
74,234,260,30,175,189,154
75,234,260,30,175,214,154
76,234,260,30,175,214,154
77,234,260,30,175,214,154
78,234,260,30,175,214,154
79,234,260,30,175,214,154
80,234,260,30,194,214,154
81,234,260,30,194,214,154
82,234,260,30,194,214,154
83,234,260,30,194,214,154
84,234,260,30,194,214,154
85,234,280,30,194,214,154
86,234,280,30,194,214,154
87,234,280,30,194,214,154
88,234,280,30,194,214,154
89,234,280,30,194,214,154
90,234,280,30,194,214,154
91,234,280,30,194,214,154
92,234,280,30,194,214,154
93,234,280,30,194,214,154
94,234,280,30,194,214,154
95,234,280,30,194,214,154
96,234,280,30,194,214,154
97,234,280,30,194,214,154
98,234,280,30,194,214,154
99,234,280,30,194,214,154
100,234,300,30,227,250,154
101,234,300,30,227,250,154
102,234,300,30,227,250,154
103,234,300,30,227,250,154
104,234,300,30,227,250,154
105,234,300,30,227,250,154
106,234,300,40,227,250,154
107,234,300,40,227,250,154
108,234,300,40,227,250,154
109,234,300,40,227,250,154
110,234,300,40,227,250,154
111,234,300,40,227,250,154
112,234,300,40,227,250,154
113,234,300,40,227,250,154
114,234,300,40,227,250,154
115,234,300,40,227,250,154
116,234,300,40,227,250,154
117,234,300,40,227,250,154
118,234,300,40,227,250,154
119,234,300,40,227,250,154
120,234,300,40,227,250,154
121,234,300,40,227,250,154
122,234,300,40,227,250,154
123,234,300,40,227,250,154
124,234,300,40,227,250,154
125,234,325,40,227,281,154
126,234,325,40,227,281,154
127,234,325,40,227,281,154
128,234,325,40,227,281,154
129,234,325,40,227,281,154
130,234,325,40,227,281,154
131,234,325,40,227,281,154
132,234,325,40,227,281,154
133,234,325,40,227,281,154
134,234,325,40,255,281,154
135,234,325,40,255,281,154
136,234,325,40,255,281,154
137,234,325,40,255,281,154
138,234,325,40,255,281,154
139,234,325,40,255,281,154
140,234,325,40,255,281,154
141,234,325,40,255,281,154
142,234,325,40,255,281,154
143,234,325,40,255,281,154
144,234,325,40,255,281,154
145,234,325,40,255,281,154
146,234,325,40,255,281,154
147,234,325,40,255,281,154
148,234,325,40,255,281,154
149,234,325,40,255,281,154
150,234,350,40,255,306,154
151,234,350,40,255,306,154
152,234,350,40,255,306,154
153,234,350,40,255,306,154
154,234,350,40,255,306,154
155,234,350,40,255,306,154
156,234,350,40,255,306,154
157,234,350,40,255,306,154
158,234,350,40,255,306,154
159,234,350,40,255,306,154
160,234,350,40,255,306,154
161,234,350,40,255,306,154
162,234,350,40,255,306,154
163,234,350,40,255,306,154
164,234,350,40,255,306,154
165,234,350,40,255,306,154
166,234,350,40,255,306,154
167,234,350,40,255,306,154
168,234,350,40,255,306,154
169,234,350,40,255,306,154
170,234,350,40,255,306,154
171,234,350,40,255,306,154
172,234,350,40,255,306,154
173,234,350,40,255,306,154
174,234,350,40,255,306,154
175,234,350,40,255,306,154
176,234,350,40,255,306,154
177,234,350,40,255,306,154
178,234,350,40,255,306,154
179,234,350,40,255,306,154
180,234,350,40,255,306,154
181,234,350,40,255,306,154
182,234,350,40,255,306,154
183,234,350,40,255,306,154
184,234,350,40,255,306,154
185,234,350,40,255,306,154
186,234,350,40,255,306,154
187,234,350,40,255,306,154
188,234,350,40,255,306,154
189,234,350,40,255,306,154
190,234,350,40,255,306,154
191,234,350,40,255,306,154
192,234,350,40,255,306,154
193,234,350,40,255,306,154
194,234,350,40,255,306,154
195,234,350,40,255,306,154
196,234,350,40,255,306,154
197,234,350,40,255,306,154
198,234,350,40,255,306,154
199,234,350,40,255,306,154
200,234,350,40,255,306,154
201,234,350,40,305,306,154
202,234,350,40,305,306,154
203,234,350,40,305,306,154
204,234,350,40,305,306,154
205,234,350,40,305,306,154
206,234,350,40,305,306,154
207,234,350,40,305,306,154
208,234,350,40,305,306,154
209,234,350,40,305,306,154
210,234,350,40,305,306,154
211,234,350,40,305,306,154
212,234,350,40,305,306,154
213,234,350,40,305,306,154
214,234,350,40,305,306,154
215,234,350,40,305,306,154
216,234,350,40,305,306,154
217,234,350,40,305,306,154
218,234,350,40,305,306,154
219,234,350,40,305,306,154
220,234,350,40,305,306,154
221,234,350,40,305,306,154
222,234,350,40,305,306,154
223,234,350,40,305,306,154
224,234,350,40,305,306,154
225,234,350,40,305,306,154
